fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2020/11/16,1.105056,2.781,0.289,51.884891,97.9,95.8
2020/11/17,2.147459,3.25,1.047,277.972275,100.0,100.0
2020/11/18,1.024,2.438,0.156,49.474473,100.0,100.0
2020/11/19,0.90225,1.953,0.281,224.313127,100.0,100.0
2020/11/20,1.059083,2.031,0.289,218.312473,100.0,100.0
2020/11/21,1.783543,3.688,0.391,175.107507,100.0,100.0
2020/11/22,1.1995,2.094,0.305,320.0,100.0,100.0
2020/11/23,2.494072,4.281,1.32,122.559166,100.0,100.0
2020/11/25,0.469,0.469,0.469,252.0,100.0,100.0
2020/11/26,0.3865,0.398,0.375,233.5,100.0,100.0
2020/11/27,2.3578,2.547,2.219,339.874936,100.0,100.0
2020/11/28,2.014467,4.109,0.141,176.66152,100.0,100.0
2020/11/29,1.989324,3.438,0.633,94.389222,100.0,100.0
2020/11/30,2.429,3.695,1.148,163.231313,100.0,100.0
2020/12/01,1.152,1.406,0.898,59.5,100.0,100.0
2020/12/02,1.9502,2.5,1.211,349.772499,100.0,100.0
2020/12/03,0.649615,2.211,0.094,223.047288,100.0,100.0
2020/12/04,1.962463,3.953,0.344,129.210814,100.0,100.0
2020/12/05,2.3125,3.477,1.109,164.569231,100.0,100.0
2020/12/06,2.194353,3.0,0.906,167.418334,100.0,100.0
2020/12/07,2.292,4.18,1.477,166.750081,100.0,100.0
2020/12/08,1.747728,3.898,0.484,134.471916,100.0,100.0
2020/12/09,0.497333,0.672,0.312,276.292759,100.0,100.0
2020/12/10,2.196828,4.055,0.406,355.284605,100.0,100.0
2020/12/11,1.669811,2.664,0.648,310.418262,100.0,100.0
2020/12/12,0.188,0.188,0.188,252.0,100.0,100.0
2020/12/13,2.259179,3.336,0.539,167.757233,100.0,100.0
2020/12/14,0.0,0.0,0.0,360.0,100.0,100.0
2020/12/15,0.4415,0.508,0.375,10.5,100.0,100.0
2020/12/16,0.0,0.0,0.0,360.0,100.0,100.0
2020/12/18,0.0,0.0,0.0,360.0,100.0,100.0
2020/12/19,1.1095,1.992,0.227,212.5,100.0,100.0
2020/12/20,1.230963,1.961,0.195,46.997748,100.0,100.0
2020/12/21,2.401143,4.156,0.906,100.113498,100.0,100.0
2020/12/22,1.966271,3.594,0.547,100.899984,100.0,100.0
2020/12/23,1.706738,5.25,0.539,97.744931,100.0,100.0
2020/12/24,1.755412,3.227,0.453,92.935572,100.0,100.0
2020/12/25,1.3945,1.562,1.227,230.5,100.0,100.0
2020/12/26,3.790847,6.008,1.5,282.750153,100.0,100.0
2020/12/27,3.118636,4.844,1.414,308.788204,100.0,100.0
2020/12/28,1.776588,2.883,0.609,185.439053,100.0,100.0
2020/12/29,0.5932,1.461,0.156,318.476865,100.0,100.0
2020/12/30,0.3435,0.633,0.023,240.175684,100.0,100.0
2020/12/31,0.971778,1.57,0.383,49.585545,100.0,100.0
2021/01/01,0.383,0.383,0.383,268.0,100.0,100.0
2021/01/02,2.131815,4.859,0.539,170.528662,100.0,100.0
2021/01/03,2.09,3.867,0.562,172.031181,100.0,100.0
2021/01/04,2.69805,3.578,1.711,344.900269,100.0,100.0
2021/01/05,1.468667,3.0,0.461,238.719592,100.0,100.0
2021/01/06,0.197667,0.398,0.086,55.749935,100.0,100.0
2021/01/07,0.5562,0.992,0.172,39.37381,100.0,100.0
2021/01/08,2.234181,3.453,0.883,98.067936,100.0,100.0
2021/01/09,3.0348,3.953,1.625,165.850057,100.0,100.0
2021/01/10,2.429188,4.5,0.977,163.953906,100.0,100.0
2021/01/11,2.410454,5.023,1.219,123.247679,100.0,100.0
2021/01/12,2.265772,4.008,0.5,127.35869,100.0,100.0
2021/01/13,0.0,0.0,0.0,360.0,100.0,100.0
2021/01/14,2.126214,3.578,1.188,163.756335,100.0,100.0
2021/01/15,1.615129,3.195,0.516,133.0485,100.0,100.0
2021/01/16,1.549,3.078,0.0,1.853684,100.0,100.0
2021/01/17,1.709242,3.297,0.523,129.106987,100.0,100.0
2021/01/18,0.258,0.258,0.258,208.0,100.0,100.0
2021/01/19,1.923743,3.156,0.523,130.324542,100.0,100.0
2021/01/20,2.321169,4.492,0.445,127.240265,100.0,100.0
2021/01/21,2.227464,4.5,0.172,95.558678,99.7,100.0
2021/01/22,2.816719,5.023,0.734,99.664696,100.0,100.0
2021/01/23,2.16464,3.727,1.156,164.577607,100.0,100.0
2021/01/24,2.51237,3.656,1.5,167.477604,100.0,100.0
2021/01/25,2.590349,3.508,1.516,105.980062,100.0,100.0
2021/01/26,2.774,4.148,1.711,165.749562,100.0,100.0
2021/01/27,2.560364,3.625,0.688,167.299703,100.0,100.0
2021/01/29,1.975221,4.4,0.6,95.903903,98.6,100.0
2021/01/30,1.14,1.9,0.7,164.37626,94.1,91.7
2021/01/31,4.506452,6.4,3.0,107.014505,100.0,100.0
2021/02/02,3.305806,5.5,1.3,123.005368,100.0,100.0
2021/02/03,3.349533,5.3,1.5,103.699147,100.0,100.0
2021/02/04,3.604895,5.4,0.9,102.042677,100.0,100.0
2021/02/05,0.8,1.2,0.2,8.372865,100.0,100.0
2021/02/06,2.823039,4.2,1.3,127.601852,100.0,100.0
2021/02/07,2.995,4.2,1.4,171.307279,100.0,100.0
2021/02/08,0.9,0.9,0.9,278.0,100.0,100.0
2021/02/09,0.7,1.0,0.5,220.5479,100.0,100.0
2021/02/10,0.833333,1.2,0.3,50.303358,100.0,100.0
2021/02/11,2.063636,4.4,0.5,228.665177,100.0,100.0
2021/02/13,0.35,0.4,0.3,218.0,100.0,100.0
2021/02/14,0.85,2.1,0.3,55.674166,99.0,100.0
2021/02/15,1.454545,2.3,0.2,131.643167,100.0,100.0
2021/02/16,1.87,3.1,0.9,230.828998,99.0,100.0
2021/02/17,1.85,2.2,1.5,242.5,98.3,100.0
2021/02/18,1.771429,3.8,0.3,280.418045,100.0,100.0
2021/02/19,1.3,2.6,0.1,308.703949,100.0,100.0
2021/02/20,1.765152,4.1,0.5,280.467856,96.5,95.8
2021/02/21,1.771591,3.1,0.4,306.439456,99.7,100.0
2021/02/22,1.746602,3.8,0.2,95.608955,95.8,91.7
2021/02/24,5.720359,7.1,3.8,106.04269,100.0,100.0
2021/02/25,4.151515,6.9,1.2,120.739263,100.0,100.0
2021/02/26,3.198276,6.2,1.2,100.209004,100.0,100.0
2021/02/27,1.8,1.8,1.8,66.0,100.0,100.0
2021/02/28,0.4,0.4,0.4,256.0,74.7,70.8
2021/03/01,1.1,1.1,1.1,81.0,98.3,95.8
2021/03/02,2.933333,3.9,2.4,347.424777,100.0,100.0
2021/03/03,1.630337,3.2,0.2,280.124436,100.0,100.0
2021/03/04,1.1,2.4,0.2,50.48148,96.9,95.8
2021/03/05,1.182609,2.1,0.1,55.356043,100.0,100.0
2021/03/06,1.942857,3.4,0.6,170.552663,99.3,100.0
2021/03/07,2.888043,5.0,0.9,123.380366,100.0,100.0
2021/03/08,0.963636,1.7,0.3,356.283535,92.7,95.8
2021/03/09,1.733333,2.2,1.1,219.597889,97.9,100.0
2021/03/10,1.689189,3.6,0.3,184.014932,100.0,100.0
